ADMUnitID, Country, ADMParent, ADMName, ADMLevel,YEAR,tMEANY,tseMEANY,tFGT_0,tseFGT_0,tFGT_1,tseFGT_1,tFGT_2,tseFGT_2,tFGT_0lo,tseFGT_0lo,tGINI,tseGINI,tpoorper,tGE_0,tseGE_0,tGE_1,tseGE_1,tGE_2,tseGE_2,tATK_0_5,tseATK_0_5,tATK_2,tseATK_2,tNUMHH,tNUMHH_W,tNUMPER,tNUMPER_W,
4540048,Malawi,4540040,"Area 18",3,1998,20.8677,2.3758,.30314,.05035,.09796,.02292,.04458,.01281,.10704,.03117,.41139,.02336,3236.62578,.28958,.03536,.3054,.04046,.45008,.09346,.13798,.01616,.42388,.03779,1767,1759,10677,10632,
4540049,Malawi,4540040,"Area 2",3,1998,33.9161,5.5261,.14713,.03922,.05045,.01704,.02437,.00998,.0578,.02355,.41521,.02239,408.13862,.31537,.03586,.30651,.0355,.41502,.06738,.14354,.015145,.48079,.04052,540,532,2774,2159,
4540050,Malawi,4540040,"Area 21",3,1998,16.842,1.2731,.42503,.03495,.15035,.01829,.07265,.01124,.17348,.02676,.42093,.01742,15009.50942,.30165,.02677,.32462,.03119,.51025,.07749,.14448,.012245,.43658,.02824,7746,7618,35314,34720,
4540051,Malawi,4540040,"Area 22",3,1998,13.9926,1.1338,.53575,.03825,.21734,.02534,.11578,.01832,.27088,.03674,.43434,.01985,10512.4865,.32467,.03331,.3464,.03685,.54674,.09494,.15407,.014578,.46067,.03574,3979,3809,19622,18570,
4540052,Malawi,4540040,"Area 23",3,1998,16.9566,1.3908,.43471,.03697,.15645,.01994,.07645,.01255,.18282,.0288,.43156,.01823,14634.07744,.31723,.02884,.34556,.03512,.57149,.11536,.15217,.013279,.44817,.02897,7000,6878,33664,33270,
4540053,Malawi,4540040,"Area 24",3,1998,15.9352,1.7488,.45979,.05132,.17099,.02777,.08545,.01737,.20413,.03966,.42368,.01981,6254.06358,.3064,.03113,.32529,.0346,.492,.08024,.1459,.013925,.44112,.03149,3250,3204,13602,13297,
4540054,Malawi,4540040,"Area 25",3,1998,17.493,1.3308,.42691,.03186,.15722,.01811,.07804,.01175,.18635,.02623,.44242,.01983,16705.84212,.33535,.03236,.3659,.0403,.62417,.13512,.16018,.014948,.46635,.03058,8184,7989,39132,38549,
4540055,Malawi,4540040,"Area 26",3,1998,14.7588,2.609,.51614,.07968,.23229,.05217,.13565,.03811,.29398,.0707,.45506,.02175,2008.81688,.37377,.04208,.37102,.0418,.54185,.09648,.16977,.017042,.52409,.04122,1008,984,3892,3777,
4540056,Malawi,4540040,"Area 27",3,1998,11.6374,2.4447,.6364,.09392,.28568,.06835,.16224,.04982,.36792,.0981,.4241,.02498,912.5976,.31468,.04035,.3267,.042,.46374,.09286,.14839,.017351,.44884,.04325,378,369,1434,1393,
4540057,Malawi,4540040,"Area 28",3,1998,15.3865,2.9389,.52667,.09199,.21995,.0574,.11952,.0416,.26794,.08697,.43118,.04472,169.06107,.3757,.0798,.42543,.13651,.91562,.77463,.17901,.039429,.49524,.06678,61,61,321,321,
4540058,Malawi,4540040,"Area 29",3,1998,9.675,2.0961,.71643,.08823,.33683,.07684,.19215,.05966,.45688,.12518,.38305,.03519,471.41094,.27255,.0498,.29152,.05454,.41122,.10355,.13161,.022622,.39355,.05584,114,104,658,574,
4540059,Malawi,4540040,"Area 3",3,1998,32.0764,3.0907,.17421,.03193,.05161,.01344,.02239,.00725,.05251,.01842,.4535,.02982,811.47018,.35916,.05073,.38849,.05976,.65832,.1684,.1699,.022664,.48824,.04444,1094,1087,4658,4609,
4540060,Malawi,4540040,"Area 30",3,1998,14.1203,2.0777,.48651,.07911,.17398,.04555,.08263,.02888,.20678,.0696,.37466,.0262,1417.69014,.23953,.03522,.2589,.04399,.37807,.10703,.1168,.017109,.36014,.03847,486,476,2914,2869,
4540061,Malawi,4540040,"Area 32",3,1998,14.1899,3.1542,.55905,.07393,.23952,.04962,.12731,.03667,.31973,.08295,.39721,.05501,138.08535,.33948,.0922,.35813,.11454,.52592,.25866,.16017,.042848,.45485,.07504,48,46,247,221,
4540062,Malawi,4540040,"Area 33",3,1998,20.1982,3.9698,.27668,.08804,.08746,.03831,.03897,.02144,.09459,.05163,.35786,.04005,536.20584,.23835,.05439,.25303,.07971,.37561,.22831,.11471,.028225,.36794,.05419,151,151,1938,868,
4540063,Malawi,4540040,"Area 35",3,1998,14.8413,2.2544,.44521,.08602,.14993,.04811,.06937,.03025,.16732,.07053,.36528,.023,2304.40696,.22595,.0289,.24132,.03461,.34355,.07724,.10987,.013929,.34963,.03455,859,856,5176,4992,
4540064,Malawi,4540040,"Area 36",3,1998,14.519,1.5588,.51172,.05265,.19199,.03088,.09642,.01993,.22989,.04475,.41986,.021,8271.44208,.29923,.03246,.32618,.03813,.51232,.0954,.14434,.014867,.42862,.03401,4013,3960,16164,15977,
4540065,Malawi,4540040,"Area 38",3,1998,20.8395,3.3858,.32535,.07382,.11775,.03627,.05832,.02215,.13946,.04985,.42312,.02386,842.98185,.31499,.04001,.32028,.0425,.45307,.09125,.14678,.017269,.45872,.03964,626,623,2591,2577,
4540066,Malawi,4540040,"Area 39",3,1998,13.1761,1.9358,.57461,.06938,.23371,.04382,.12174,.02916,.29886,.06746,.42272,.02141,2232.93446,.30275,.03234,.32818,.03864,.50195,.09332,.14586,.015018,.42797,.03279,1081,1058,3886,3821,
4540067,Malawi,4540040,"Area 4",3,1998,14.0145,10.1759,.50286,.37024,.16126,.16772,.07106,.10036,.18429,.29305,,,21.12012,.05646,.06849,.04559,.0476,.04022,.04053,.02469,.027031,.111,.12771,2,2,42,7,
4540068,Malawi,4540040,"Area 43",3,1998,31.7304,4.2015,.16862,.04328,.05531,.01715,.02638,.00972,.05959,.02436,.43412,.03185,278.39162,.34223,.05184,.36324,.06746,.6122,.20989,.16033,.024273,.4939,.05154,391,385,1651,1644,
